メシウマスポット

タイトル,メモ,URL,タグ,コメント
,,,,
Speckwirt,,https://www.google.com/maps/place/Speckwirt/data=!4m2!3m1!1s0x4797344510bf7559:0xa4cdc98c5d862f04,,
杉・五兵衛,野菜食べるならここ。大名屋敷のブリコラージュで建物も面白い。,https://www.google.com/maps/place/%E6%9D%89%E3%83%BB%E4%BA%94%E5%85%B5%E8%A1%9B/data=!4m2!3m1!1s0x6001198fc673739b:0xe33855c176bb43e8,,
il Mercato Centrale Firenze,1人旅なら行った方がいい。いろんなものをちょこちょこ食べれる。,https://www.google.com/maps/place/il+Mercato+Centrale+Firenze/data=!4m2!3m1!1s0x132a5402b7eac097:0x7de17cc8fcf413b5,,
L'Enoteca Sandro Soltani Caffè Sant'Ambrogio,日本人の人が店員さんて優しい。そろそろこの中央市場がオススメ,https://www.google.com/maps/place/L'Enoteca+Sandro+Soltani+Caff%C3%A8+Sant'Ambrogio/data=!4m2!3m1!1s0x132a5402b13dffdd:0xdcefe53298166f53,,
Pasta al Sugo,安くて、店員さんが可愛い。味は終わってる。,https://www.google.com/maps/place/Pasta+al+Sugo/data=!4m2!3m1!1s0x132f61652f4330f7:0xf44ee3bb476d247d,,
La Piccola Cuccagna - Ristorante,深夜まで空いてる。1人で入りやすいし店員さんが優しかった。コスパはユーロが高すぎてわからん。,https://www.google.com/maps/place/La+Piccola+Cuccagna+-+Ristorante/data=!4m2!3m1!1s0x132f604f8fe71f19:0xfb0e0ee1ba9e676d,,
Unosato,,https://www.google.com/maps/place/Unosato/data=!4m2!3m1!1s0x60188ca95d406717:0x7b6e1f00c767a120,,
らーめんたくみ,,https://www.google.com/maps/place/%E3%82%89%E3%83%BC%E3%82%81%E3%82%93%E3%81%9F%E3%81%8F%E3%81%BF/data=!4m2!3m1!1s0x60188b9f67f40d3d:0x55166f5e53eb3490,,
小料理ともか,竹内さんおすすめの店,https://www.google.com/maps/place/%E5%B0%8F%E6%96%99%E7%90%86%E3%81%A8%E3%82%82%E3%81%8B/data=!4m2!3m1!1s0x6000e713e31c2027:0x63f616b52f2151b9,,
てつ魚店,マジで魚がうまい。,https://www.google.com/maps/place/%E3%81%A6%E3%81%A4%E9%AD%9A%E5%BA%97/data=!4m2!3m1!1s0x6020968b77373785:0xab60cc4b29f4185a,,
みなとや,美味定食,https://www.google.com/maps/place/%E3%81%BF%E3%81%AA%E3%81%A8%E3%82%84/data=!4m2!3m1!1s0x60209662131255d5:0xbcf317a31386e5ce,,
cokuriya(コクリヤ),南相馬のオシャカフェ,https://www.google.com/maps/place/cokuriya(%E3%82%B3%E3%82%AF%E3%83%AA%E3%83%A4)/data=!4m2!3m1!1s0x6020995db9cf45c3:0xe5e7700d5345ad89,,
食堂てて,南相馬のオシャ飯,https://www.google.com/maps/place/%E9%A3%9F%E5%A0%82%E3%81%A6%E3%81%A6/data=!4m2!3m1!1s0x6020975667a4b7eb:0x1e779fd7841aae6d,,
横濱ラーメン あさが家 上野店,気になる家系ラーメン,https://www.google.com/maps/place/%E6%A8%AA%E6%BF%B1%E3%83%A9%E3%83%BC%E3%83%A1%E3%83%B3+%E3%81%82%E3%81%95%E3%81%8C%E5%AE%B6+%E4%B8%8A%E9%87%8E%E5%BA%97/data=!4m2!3m1!1s0x60188dbdc5796e75:0x51f7d2fa934df3d4,,
Craft Ramen BiT,めちゃ深みがあるラーメン,https://www.google.com/maps/place/Craft+Ramen+BiT/data=!4m2!3m1!1s0x60188f320d3d82df:0xb91c25b266874f5,,
Mendokorokoankyotoekimaeten,,https://www.google.com/maps/place/Mendokorokoankyotoekimaeten/data=!4m2!3m1!1s0x600108a7dc24a1c5:0x9f369ce8a92b7f37,,
南蛮,,https://www.google.com/maps/place/%E5%8D%97%E8%9B%AE/data=!4m2!3m1!1s0x353e60b608d983f5:0x14ae9e06e0fef2fb,,
C.O.D,旨メキシカン系統のホットドッグ,https://www.google.com/maps/place/C.O.D/data=!4m2!3m1!1s0x60188c992877d4ab:0xab6312fbd9c242b,,
野焼,,https://www.google.com/maps/place/%E9%87%8E%E7%84%BC/data=!4m2!3m1!1s0x60188a7d6b705163:0x2a698567e3d2b841,,
Shimogamo Gonzo,,https://www.google.com/maps/place/Shimogamo+Gonzo/data=!4m2!3m1!1s0x60010817e79868a9:0x1f7b4ecd44b96834,,
秋色庵 大坂家（しゅうしきあんおおさかや）,,https://www.google.com/maps/place/%E7%A7%8B%E8%89%B2%E5%BA%B5+%E5%A4%A7%E5%9D%82%E5%AE%B6%EF%BC%88%E3%81%97%E3%82%85%E3%81%86%E3%81%97%E3%81%8D%E3%81%82%E3%82%93%E3%81%8A%E3%81%8A%E3%81%95%E3%81%8B%E3%82%84%EF%BC%89/data=!4m2!3m1!1s0x60188bb05024e0f1:0x858b5589f7dc097e,,
大連,餃子,https://www.google.com/maps/place/%E5%A4%A7%E9%80%A3/data=!4m2!3m1!1s0x601861b8ce391bbd:0x83d2fe719820891e,,
鮨・酒・肴 杉玉 北千住,美味しいと知り合いのADが言ってた,https://www.google.com/maps/place/%E9%AE%A8%E3%83%BB%E9%85%92%E3%83%BB%E8%82%B4+%E6%9D%89%E7%8E%89+%E5%8C%97%E5%8D%83%E4%BD%8F/data=!4m2!3m1!1s0x60188fcc3a010f31:0xb36962e5b3673a8b,,
縁家とりつぎ,さんたのトレーナーのガチの行きつけ。喫煙可。,https://www.google.com/maps/place/%E7%B8%81%E5%AE%B6%E3%81%A8%E3%82%8A%E3%81%A4%E3%81%8E/data=!4m2!3m1!1s0x6018f34996e40001:0x1a87726dbdb7ce50,,
居酒屋たぬき 新橋2号店,D社のラボがよく使う。日本酒置いてて嬉しい。喫煙可。,https://www.google.com/maps/place/%E5%B1%85%E9%85%92%E5%B1%8B%E3%81%9F%E3%81%AC%E3%81%8D+%E6%96%B0%E6%A9%8B2%E5%8F%B7%E5%BA%97/data=!4m2!3m1!1s0x60188bea520dd65d:0x539a2e0187cfde1d,,
